iso3,country,variant,classification,line_code,line_label,line_level,year,basis,value_lcu_mn,currency,pct_gdp,pct_total,gdp_lcu_mn,observation_type,quality_grade,source_id,anchor_source,anchor_year,anchor_value,growth_source_id,growth_rate,residual_method,coverage_share,crosswalk_version,derivation,notes
DEU,Germany,maximum_extension,ESA_EXP,E01,Compensation of employees,1,1991,actual,137521.0,EUR,8.64037,,1591610.0,stitched_actual,B,EC_AMECO,EUROSTAT_GOV10A_MAIN,1995,171012.0,EC_AMECO,0.9102287469222419,,1.0,EC_AMECO_to_ESA_EXP:1.0,"backward stitch: value(1991) = value(1992) x 0.910229 (EC_AMECO growth), chained backwards from the 1995 anchor 171,012.0 (EUROSTAT_GOV10A_MAIN); growth source covers 100.0% of the line at 2025; crosswalk EC_AMECO_to_ESA_EXP:1.0; grade B","AMECO UWCG: Compensation of employees (D.1), general government, ESA 2010, Commission redistribution of national accounts; same concept as the anchor's main-aggregates item"
DEU,Germany,maximum_extension,ESA_EXP,E01,Compensation of employees,1,1992,actual,151084.0,EUR,8.83589,,1709890.0,stitched_actual,B,EC_AMECO,EUROSTAT_GOV10A_MAIN,1995,171012.0,EC_AMECO,0.9594888958040937,,1.0,EC_AMECO_to_ESA_EXP:1.0,"backward stitch: value(1992) = value(1993) x 0.959489 (EC_AMECO growth), chained backwards from the 1995 anchor 171,012.0 (EUROSTAT_GOV10A_MAIN); growth source covers 100.0% of the line at 2025; crosswalk EC_AMECO_to_ESA_EXP:1.0; grade B","AMECO UWCG: Compensation of employees (D.1), general government, ESA 2010, Commission redistribution of national accounts; same concept as the anchor's main-aggregates item"
DEU,Germany,maximum_extension,ESA_EXP,E01,Compensation of employees,1,1993,actual,157463.0,EUR,8.960304,,1757340.0,stitched_actual,B,EC_AMECO,EUROSTAT_GOV10A_MAIN,1995,171012.0,EC_AMECO,0.9783105732072517,,1.0,EC_AMECO_to_ESA_EXP:1.0,"backward stitch: value(1993) = value(1994) x 0.978311 (EC_AMECO growth), chained backwards from the 1995 anchor 171,012.0 (EUROSTAT_GOV10A_MAIN); growth source covers 100.0% of the line at 2025; crosswalk EC_AMECO_to_ESA_EXP:1.0; grade B","AMECO UWCG: Compensation of employees (D.1), general government, ESA 2010, Commission redistribution of national accounts; same concept as the anchor's main-aggregates item"
DEU,Germany,maximum_extension,ESA_EXP,E01,Compensation of employees,1,1994,actual,160954.0,EUR,8.756923,,1838020.0,stitched_actual,B,EC_AMECO,EUROSTAT_GOV10A_MAIN,1995,171012.0,EC_AMECO,0.9411854138890838,,1.0,EC_AMECO_to_ESA_EXP:1.0,"backward stitch: value(1994) = value(1995) x 0.941185 (EC_AMECO growth), chained backwards from the 1995 anchor 171,012.0 (EUROSTAT_GOV10A_MAIN); growth source covers 100.0% of the line at 2025; crosswalk EC_AMECO_to_ESA_EXP:1.0; grade B","AMECO UWCG: Compensation of employees (D.1), general government, ESA 2010, Commission redistribution of national accounts; same concept as the anchor's main-aggregates item"
DEU,Germany,maximum_extension,ESA_EXP,E01,Compensation of employees,1,1995,actual,171012.0,EUR,9.000963,16.294182,1899930.0,anchor_actual,A,EUROSTAT_GOV10A_MAIN,EUROSTAT_GOV10A_MAIN,1995,171012.0,,,,,,"anchor outturn: EUROSTAT_GOV10A_MAIN publishes 171,012.0 for 1995",
DEU,Germany,maximum_extension,ESA_EXP,E01,Compensation of employees,1,1996,actual,174011.0,EUR,9.022846,18.207092,1928560.0,anchor_actual,A,EUROSTAT_GOV10A_MAIN,EUROSTAT_GOV10A_MAIN,1996,174011.0,,,,,,"anchor outturn: EUROSTAT_GOV10A_MAIN publishes 174,011.0 for 1996",
DEU,Germany,maximum_extension,ESA_EXP,E01,Compensation of employees,1,1997,actual,174825.0,EUR,8.887087,18.228787,1967180.0,anchor_actual,A,EUROSTAT_GOV10A_MAIN,EUROSTAT_GOV10A_MAIN,1997,174825.0,,,,,,"anchor outturn: EUROSTAT_GOV10A_MAIN publishes 174,825.0 for 1997",
DEU,Germany,maximum_extension,ESA_EXP,E01,Compensation of employees,1,1998,actual,175816.0,EUR,8.69382,18.003015,2022310.0,anchor_actual,A,EUROSTAT_GOV10A_MAIN,EUROSTAT_GOV10A_MAIN,1998,175816.0,,,,,,"anchor outturn: EUROSTAT_GOV10A_MAIN publishes 175,816.0 for 1998",
DEU,Germany,maximum_extension,ESA_EXP,E01,Compensation of employees,1,1999,actual,184192.0,EUR,8.867151,18.287766,2077240.0,anchor_actual,A,EUROSTAT_GOV10A_MAIN,EUROSTAT_GOV10A_MAIN,1999,184192.0,,,,,,"anchor outturn: EUROSTAT_GOV10A_MAIN publishes 184,192.0 for 1999",
DEU,Germany,maximum_extension,ESA_EXP,E01,Compensation of employees,1,2000,actual,185023.0,EUR,8.687913,18.078451,2129660.0,anchor_actual,A,EUROSTAT_GOV10A_MAIN,EUROSTAT_GOV10A_MAIN,2000,185023.0,,,,,,"anchor outturn: EUROSTAT_GOV10A_MAIN publishes 185,023.0 for 2000",
