iso3,year,instrument_class,bucket,gross_nominal_lcu_mn,gross_cash_lcu_mn,n_operations,weighted_residual_years_at_issue,run_id,source_id,snapshot_sha256,quality_grade,notes
GBR,1981,inflation_linked,15-20,1000.0,1000.0,1,15.474332648870636,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1981,inflation_linked,20-30,1000.0,860.0,1,25.02943189596167,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1982,inflation_linked,5-7,1000.0,992.5,2,5.8494182067077345,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1982,inflation_linked,15-20,250.0,235.0,1,19.080082135523615,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1982,inflation_linked,20-30,1400.0,1314.0,3,27.106189498386623,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1983,inflation_linked,15-20,1200.0,1166.0,3,16.937485740360486,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1983,inflation_linked,20-30,100.0,95.75,1,25.70020533880903,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1983,inflation_linked,30+,1500.0,1428.75,2,35.01437371663245,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1984,inflation_linked,5-7,400.0,361.5,2,5.873374401095139,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1984,inflation_linked,15-20,250.0,250.25,2,17.501984941820673,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1984,inflation_linked,20-30,200.0,199.0,2,25.66050650239562,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1984,inflation_linked,30+,200.0,189.75,1,31.786447638603693,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1985,fixed_bullet,15-20,400.0,382.0,1,19.498973305954827,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1985,inflation_linked,3-5,100.0,98.25,1,4.692676249144422,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1985,inflation_linked,15-20,400.0,400.25,3,17.003764544832308,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1985,inflation_linked,20-30,900.0,838.75,4,27.333485436154838,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1985,inflation_linked,30+,400.0,381.5,3,33.54585900068446,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1986,fixed_bullet,15-20,1850.0,1753.625,3,18.303420463584736,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1986,fixed_bullet,20-30,1050.0,975.5,3,20.95016459698185,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1986,inflation_linked,10-15,50.0,49.5625,1,14.850102669404516,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1986,inflation_linked,15-20,100.0,106.75,1,17.010266940451746,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1986,inflation_linked,20-30,850.0,814.9375,5,27.711398317027015,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1986,inflation_linked,30+,850.0,705.59375,4,35.996134798888754,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1987,fixed_bullet,15-20,200.0,187.5,1,19.709787816564,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1987,inflation_linked,5-7,400.0,374.0,1,5.092402464065708,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1987,inflation_linked,10-15,100.0,108.625,1,13.872689938398358,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1987,inflation_linked,15-20,150.0,161.1875,2,17.53867214236824,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1987,inflation_linked,20-30,250.0,265.1875,3,24.078850102669406,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1987,inflation_linked,30+,200.0,179.3125,2,34.87063655030801,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1988,fixed_bullet,15-20,500.0,496.625,3,17.844490075290896,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1988,inflation_linked,3-5,250.0,253.59375,1,3.980835044490075,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1988,inflation_linked,5-7,400.0,381.0,1,5.952087611225188,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1988,inflation_linked,15-20,150.0,165.0625,2,17.088751996349533,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1988,inflation_linked,20-30,650.0,635.09375,6,25.04796503975149,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1988,inflation_linked,30+,350.0,299.71875,4,34.44646523907304,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1991,fixed_bullet,10-15,550.0,527.03125,3,13.810466056872627,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1991,fixed_bullet,15-20,3750.0,3480.78125,5,18.40025553274013,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1991,inflation_linked,3-5,200.0,293.9375,2,4.057494866529774,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1991,inflation_linked,10-15,100.0,141.9375,1,10.376454483230663,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1991,inflation_linked,20-30,200.0,243.375,2,21.082819986310746,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1992,fixed_bullet,10-15,4700.0,4704.859375,8,11.416808656268659,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1992,fixed_bullet,15-20,400.0,381.75,2,17.2580424366872,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1992,fixed_bullet,20-30,5000.0,4853.125,2,25.156741957563312,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1992,inflation_linked,5-7,500.0,500.0,1,5.604380561259411,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1992,inflation_linked,7-10,250.0,374.34375,2,9.376043805612593,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1992,inflation_linked,10-15,750.0,833.25,2,12.4145106091718,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1992,inflation_linked,15-20,400.0,552.65625,3,17.52498288843258,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1992,inflation_linked,20-30,850.0,985.375,6,23.212304223537465,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1992,inflation_linked,30+,650.0,659.75,2,36.63223292792081,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1993,fixed_bullet,7-10,3450.0,3515.390625,2,9.934628852582605,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1993,fixed_bullet,10-15,15600.0,15539.9375,11,12.294064479896102,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1993,fixed_bullet,15-20,2950.0,3267.125,3,18.473346558544762,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1993,fixed_bullet,20-30,6300.0,6292.39095,8,21.566115837163064,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1993,inflation_linked,3-5,400.0,533.1875,3,4.322381930184805,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1993,inflation_linked,7-10,500.0,843.09375,4,8.895277207392198,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1993,inflation_linked,10-15,600.0,892.15625,3,11.335614875655944,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1993,inflation_linked,15-20,700.0,1092.90625,4,17.48723965972426,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1993,inflation_linked,20-30,1850.0,2583.6875,9,24.752390994690792,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1993,inflation_linked,30+,1650.0,1924.625,9,33.87700412751748,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1994,fixed_bullet,7-10,650.0,634.09375,2,8.734586426578213,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1994,fixed_bullet,10-15,5250.0,5136.984375,6,11.264795801962126,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1994,fixed_bullet,15-20,5600.0,5164.046875,5,16.980981715067955,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1994,fixed_bullet,20-30,600.0,622.625,2,22.910335386721425,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1994,inflation_linked,5-7,100.0,167.1875,1,6.822724161533197,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1994,inflation_linked,7-10,250.0,404.875,2,8.6362765229295,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1994,inflation_linked,10-15,450.0,641.28125,4,12.634572971328618,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1994,inflation_linked,15-20,450.0,675.75,3,17.782340862423,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1994,inflation_linked,20-30,850.0,1076.5625,7,25.63175906913073,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1994,inflation_linked,30+,100.0,116.3125,1,30.255989048596852,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1995,fixed_bullet,7-10,350.0,356.5,2,7.63234575144226,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1995,fixed_bullet,10-15,10500.0,10334.84375,4,10.881131644992015,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1995,fixed_bullet,15-20,300.0,306.5625,1,18.321697467488022,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1995,fixed_bullet,20-30,9500.0,9128.125,4,20.458950250369252,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1995,inflation_linked,5-7,100.0,177.4375,1,6.04517453798768,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1995,inflation_linked,7-10,250.0,419.78125,2,7.899794661190965,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1995,inflation_linked,10-15,600.0,1015.0625,5,12.43212411590235,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1995,inflation_linked,15-20,700.0,1091.25,5,16.87337440109514,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1995,inflation_linked,20-30,850.0,1136.28125,7,25.358940290695337,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1996,fixed_bullet,7-10,100.0,101.875,1,9.776865160848734,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1996,fixed_bullet,10-15,5700.0,5498.78125,3,10.451193006472376,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1996,fixed_bullet,15-20,3000.0,2986.875,2,19.240246406570844,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1996,fixed_bullet,20-30,9000.0,8803.125,3,24.99566506958704,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1996,inflation_linked,3-5,150.0,278.34375,1,4.941820670773443,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1996,inflation_linked,5-7,650.0,1155.78125,4,6.106881482651503,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1996,inflation_linked,7-10,400.0,627.75,3,8.794661190965092,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1996,inflation_linked,10-15,500.0,843.21875,3,12.172484599589323,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1996,inflation_linked,15-20,1250.0,1891.84375,7,17.183189596167008,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1996,inflation_linked,20-30,1000.0,1297.28125,6,25.881724845995894,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1997,fixed_bullet,5-7,2000.0,1994.375,1,5.987679671457905,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1997,fixed_bullet,10-15,9000.0,8965.9375,4,10.553350064643698,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1997,fixed_bullet,20-30,7500.0,8311.5625,4,24.004380561259413,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1997,inflation_linked,5-7,350.0,648.96875,3,5.914539943287377,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1997,inflation_linked,7-10,250.0,497.953125,2,9.050239561943872,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1997,inflation_linked,10-15,475.0,841.375,4,13.149609135775783,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1997,inflation_linked,15-20,925.0,1447.0,5,17.944096046765452,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1997,inflation_linked,20-30,1050.0,1480.15625,7,25.162934715296114,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1998,fixed_bullet,7-10,2000.0,2196.875,1,9.700205338809035,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1998,fixed_bullet,10-15,2500.0,2506.25,1,11.356605065023956,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1998,fixed_bullet,30+,5000.0,5087.8125,2,30.671594798083504,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1998,inflation_linked,5-7,350.0,579.09375,2,5.702943189596167,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1998,inflation_linked,10-15,450.0,824.4,1,14.72142368240931,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1998,inflation_linked,15-20,150.0,277.875,1,18.182067077344286,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1998,inflation_linked,20-30,150.0,227.0625,1,26.288843258042437,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1998,inflation_linked,30+,350.0,529.5,2,32.251882272416154,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1999,fixed_bullet,3-5,2500.0,2469.7500000000005,1,4.958247775496235,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1999,fixed_bullet,10-15,2750.0,2761.275,1,10.190280629705681,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1999,fixed_bullet,20-30,4900.0,6094.949999999999,3,29.31394487979997,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1999,inflation_linked,10-15,375.0,845.625,1,12.068446269678304,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1999,inflation_linked,15-20,370.0,757.0570000000001,1,16.744695414099933,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1999,inflation_linked,20-30,450.0,817.2,1,25.467488021902806,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,1999,inflation_linked,30+,500.0,896.7,1,31.23066392881588,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,2000,bill,0-1,15650.0,13353.330137105195,80,0.1135289628312701,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,2000,fixed_bullet,30+,4750.0,4593.824999999999,2,31.8008573795886,20260910T112045Z,ggfiscal.debt.maturity,,A,
GBR,2000,inflation_linked,10-15,435.0,850.2075,1,13.05407255304586,20260910T112045Z,ggfiscal.debt.maturity,,A,
