series_id,iso3,classification,line_code,line_level,line_label,year,native_period,source_period_basis,value_lcu_mn,currency,gdp_lcu_mn,gdp_source_id,pct_gdp,total_lcu_mn,total_source_id,pct_total,series_variant,observation_type,anchor_source,anchor_year,anchor_value,growth_source_id,growth_rate,residual_method,interpolation_method,period_conversion_method,coverage_share,coverage_share_year,quality_grade,crosswalk_version,source_id,source_release_date,source_vintage,source_status,scenario_label,concept_flag,imf_value,imf_diff_pct,oecd_rs_value,oecd_rs_diff_pct,is_interpolated,is_period_converted,is_forecast,run_id,notes
GBR_R01_maximum_extension,GBR,ESA_REV,R01,1,Value added tax,1990,1990,CY,33620.0,GBP,672977.0,ONS_GDP,4.995713,227587.0,ONS_GG_RECEIPTS,14.772373,maximum_extension,anchor_actual,ONS_GG_RECEIPTS,1990.0,33620.0,,,,,,,,A,,ONS_GG_RECEIPTS,2026-06-18,2026-08-31,current,,,,,34136.0,1.5348,False,False,False,20260831T132617Z,
GBR_R01_maximum_extension,GBR,ESA_REV,R01,1,Value added tax,1991,1991,CY,38061.0,GBP,708072.0,ONS_GDP,5.375301,238031.0,ONS_GG_RECEIPTS,15.989934,maximum_extension,anchor_actual,ONS_GG_RECEIPTS,1991.0,38061.0,,,,,,,,A,,ONS_GG_RECEIPTS,2026-06-18,2026-08-31,current,,,,,37523.0,-1.4135,False,False,False,20260831T132617Z,
GBR_R01_maximum_extension,GBR,ESA_REV,R01,1,Value added tax,1992,1992,CY,41328.0,GBP,733221.0,ONS_GDP,5.6365,241577.0,ONS_GG_RECEIPTS,17.107589,maximum_extension,anchor_actual,ONS_GG_RECEIPTS,1992.0,41328.0,,,,,,,,A,,ONS_GG_RECEIPTS,2026-06-18,2026-08-31,current,,,,,41031.0,-0.7186,False,False,False,20260831T132617Z,
GBR_R01_maximum_extension,GBR,ESA_REV,R01,1,Value added tax,1993,1993,CY,42255.0,GBP,772390.0,ONS_GDP,5.470682,244677.0,ONS_GG_RECEIPTS,17.269707,maximum_extension,anchor_actual,ONS_GG_RECEIPTS,1993.0,42255.0,,,,,,,,A,,ONS_GG_RECEIPTS,2026-06-18,2026-08-31,current,,,,,41762.0,-1.1667,False,False,False,20260831T132617Z,
GBR_R01_maximum_extension,GBR,ESA_REV,R01,1,Value added tax,1994,1994,CY,45758.0,GBP,813527.0,ONS_GDP,5.624644,262194.0,ONS_GG_RECEIPTS,17.451963,maximum_extension,anchor_actual,ONS_GG_RECEIPTS,1994.0,45758.0,,,,,,,,A,,ONS_GG_RECEIPTS,2026-06-18,2026-08-31,current,,,,,44690.0,-2.334,False,False,False,20260831T132617Z,
GBR_R01_maximum_extension,GBR,ESA_REV,R01,1,Value added tax,1995,1995,CY,47329.0,GBP,854921.0,ONS_GDP,5.536067,282664.0,ONS_GG_RECEIPTS,16.743908,maximum_extension,anchor_actual,ONS_GG_RECEIPTS,1995.0,47329.0,,,,,,,,A,,ONS_GG_RECEIPTS,2026-06-18,2026-08-31,current,,,,,47539.0,0.4437,False,False,False,20260831T132617Z,
GBR_R01_maximum_extension,GBR,ESA_REV,R01,1,Value added tax,1996,1996,CY,51662.0,GBP,913609.0,ONS_GDP,5.654717,300002.0,ONS_GG_RECEIPTS,17.220552,maximum_extension,anchor_actual,ONS_GG_RECEIPTS,1996.0,51662.0,,,,,,,,A,,ONS_GG_RECEIPTS,2026-06-18,2026-08-31,current,,,,,51692.0,0.0581,False,False,False,20260831T132617Z,
GBR_R01_maximum_extension,GBR,ESA_REV,R01,1,Value added tax,1997,1997,CY,54724.0,GBP,958539.0,ONS_GDP,5.709105,322933.0,ONS_GG_RECEIPTS,16.94593,maximum_extension,anchor_actual,ONS_GG_RECEIPTS,1997.0,54724.0,,,,,,,,A,,ONS_GG_RECEIPTS,2026-06-18,2026-08-31,current,,,,,54475.0,-0.455,False,False,False,20260831T132617Z,
GBR_R01_maximum_extension,GBR,ESA_REV,R01,1,Value added tax,1998,1998,CY,57069.0,GBP,1002804.0,ONS_GDP,5.690943,351490.0,ONS_GG_RECEIPTS,16.236308,maximum_extension,anchor_actual,ONS_GG_RECEIPTS,1998.0,57069.0,,,,,,,,A,,ONS_GG_RECEIPTS,2026-06-18,2026-08-31,current,,,,,57539.0,0.8236,False,False,False,20260831T132617Z,
GBR_R01_maximum_extension,GBR,ESA_REV,R01,1,Value added tax,1999,1999,CY,62182.0,GBP,1046727.0,ONS_GDP,5.940613,372689.0,ONS_GG_RECEIPTS,16.684689,maximum_extension,anchor_actual,ONS_GG_RECEIPTS,1999.0,62182.0,,,,,,,,A,,ONS_GG_RECEIPTS,2026-06-18,2026-08-31,current,,,,,62073.0,-0.1753,False,False,False,20260831T132617Z,
GBR_R01_maximum_extension,GBR,ESA_REV,R01,1,Value added tax,2000,2000,CY,64918.0,GBP,1104759.0,ONS_GDP,5.876214,402079.0,ONS_GG_RECEIPTS,16.145583,maximum_extension,anchor_actual,ONS_GG_RECEIPTS,2000.0,64918.0,,,,,,,,A,,ONS_GG_RECEIPTS,2026-06-18,2026-08-31,current,,,,,65018.0,0.154,False,False,False,20260831T132617Z,
GBR_R01_maximum_extension,GBR,ESA_REV,R01,1,Value added tax,2001,2001,CY,67908.0,GBP,1150542.0,ONS_GDP,5.902262,417942.0,ONS_GG_RECEIPTS,16.248188,maximum_extension,anchor_actual,ONS_GG_RECEIPTS,2001.0,67908.0,,,,,,,,A,,ONS_GG_RECEIPTS,2026-06-18,2026-08-31,current,,,,,67859.0,-0.0722,False,False,False,20260831T132617Z,
GBR_R01_maximum_extension,GBR,ESA_REV,R01,1,Value added tax,2002,2002,CY,72048.0,GBP,1194646.0,ONS_GDP,6.030908,423991.0,ONS_GG_RECEIPTS,16.992814,maximum_extension,anchor_actual,ONS_GG_RECEIPTS,2002.0,72048.0,,,,,,,,A,,ONS_GG_RECEIPTS,2026-06-18,2026-08-31,current,,,,,72136.0,0.1221,False,False,False,20260831T132617Z,
GBR_R01_maximum_extension,GBR,ESA_REV,R01,1,Value added tax,2003,2003,CY,78391.0,GBP,1262502.0,ONS_GDP,6.209178,447902.0,ONS_GG_RECEIPTS,17.50182,maximum_extension,anchor_actual,ONS_GG_RECEIPTS,2003.0,78391.0,,,,,,,,A,,ONS_GG_RECEIPTS,2026-06-18,2026-08-31,current,,,,,78356.0,-0.0446,False,False,False,20260831T132617Z,
GBR_R01_maximum_extension,GBR,ESA_REV,R01,1,Value added tax,2004,2004,CY,82666.0,GBP,1327143.0,ONS_GDP,6.228869,488059.0,ONS_GG_RECEIPTS,16.937706,maximum_extension,anchor_actual,ONS_GG_RECEIPTS,2004.0,82666.0,,,,,,,,A,,ONS_GG_RECEIPTS,2026-06-18,2026-08-31,current,,,,,82691.0,0.0302,False,False,False,20260831T132617Z,
GBR_R01_maximum_extension,GBR,ESA_REV,R01,1,Value added tax,2005,2005,CY,84630.0,GBP,1403249.0,ONS_GDP,6.031004,532688.0,ONS_GG_RECEIPTS,15.887349,maximum_extension,anchor_actual,ONS_GG_RECEIPTS,2005.0,84630.0,,,,,,,,A,,ONS_GG_RECEIPTS,2026-06-18,2026-08-31,current,,,,,84649.0,0.0225,False,False,False,20260831T132617Z,
GBR_R01_maximum_extension,GBR,ESA_REV,R01,1,Value added tax,2006,2006,CY,89014.0,GBP,1478080.0,ONS_GDP,6.022272,561010.0,ONS_GG_RECEIPTS,15.86674,maximum_extension,anchor_actual,ONS_GG_RECEIPTS,2006.0,89014.0,,,,,,,,A,,ONS_GG_RECEIPTS,2026-06-18,2026-08-31,current,,,,,89016.0,0.0022,False,False,False,20260831T132617Z,
